,app_name,exercise_segment,facility,fromhost_ip,hostname,message,procid,programname,severity,timegenerated,timereported,timestamp
122564,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:33:36 | 200 #033[0m|     488.644µs |       10.1.2.27 |  GET #033[0m    /api/v1/stratum-one,25367.0,gendpoint,6,2019-03-19T11:33:36.994335+01:00,2019-03-19T11:33:36+01:00,1552991616994
71353,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:19:44 | 200 #033[0m|    1.059308ms |       10.5.2.27 |  GET #033[0m    /api/v1/incidents,25498.0,gendpoint,6,2019-03-19T11:19:44.615346+01:00,2019-03-19T11:19:44+01:00,1552990784615
167737,python,blue-team-4,3,10.7.104.27,ocs," 10.0.3.33 - - [19/Mar/2019 11:45:35] ""GET / HTTP/1.1"" 200 -",832.0,python,6,2019-03-19T11:45:35.547584+01:00,2019-03-19T11:45:35+01:00,1552992335547
183901,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:49:30 | 200 #033[0m|    3.911601ms |       10.4.2.27 |  GET #033[0m    /api/v1/connection-check,25466.0,gendpoint,6,2019-03-19T11:49:30.236834+01:00,2019-03-19T11:49:30+01:00,1552992570236
45258,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:12:31 | 200 #033[0m|    4.189014ms |       10.4.2.27 |  GET #033[0m    /api/v1/connection-check,25466.0,gendpoint,6,2019-03-19T11:12:31.516196+01:00,2019-03-19T11:12:31+01:00,1552990351516
116516,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:32:04 | 200 #033[0m|    4.385073ms |       10.3.2.27 |  GET #033[0m    /api/v1/connection-check,25433.0,gendpoint,6,2019-03-19T11:32:04.804294+01:00,2019-03-19T11:32:04+01:00,1552991524804
177155,ocse,blue-team-1,3,10.7.101.27,ocs, [GIN] 2019/03/19 - 11:47:57 | 200 #033[0m|    2.878878ms |       10.0.3.32 |  GET #033[0m    /api/v1/units,22479.0,ocse,6,2019-03-19T11:47:57.209883+01:00,2019-03-19T11:47:57+01:00,1552992477209
33858,named,global,3,10.7.100.3,ns, client 4.122.55.4#54560 (govcert.ex): query: govcert.ex IN A + (4.122.55.3),4630.0,named,6,2019-03-19T11:09:25.137401+01:00,2019-03-19T11:09:25+01:00,1552990165137
118712,sudo,blue-team-3,10,10.7.103.44,desktop3, pam_unix(sudo:session): session opened for user root by (uid=0),,sudo,6,2019-03-19T11:32:43.827157+01:00,2019-03-19T11:32:43+01:00,1552991563827
72253,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:20:01 | 200 #033[0m|    6.293809ms |       10.4.2.27 |  GET #033[0m    /api/v1/units/status,25466.0,gendpoint,6,2019-03-19T11:20:01.995411+01:00,2019-03-19T11:20:01+01:00,1552990801995
